num,word,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09
1,BAG,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
2,BALL,3,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
3,BANK,4,2,4,2,4,1,2,3,2,2,3,3,3,3,3,4
4,BAR,4,2,3,1,4,1,2,3,2,2,3,3,3,3,2,4
5,BLUES,3,2,2,2,4,1,2,3,2,3,3,3,3,3,3,4
6,BOLT,4,2,3,1,4,1,2,3,1,2,3,3,3,3,3,2
7,BRAWL,1,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
8,BRIDE,4,2,1,2,4,1,3,3,2,3,3,3,2,3,3,4
9,BUD,4,2,1,1,4,1,3,3,2,2,3,3,3,3,3,4
10,BULB,3,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
11,CANE,4,2,2,2,4,1,3,3,2,2,2,3,3,4,3,4
12,CAP,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,3
13,CASH,4,2,4,2,4,1,3,3,2,2,3,3,2,3,3,4
14,CELL,1,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
15,CENT,4,2,1,2,4,1,3,3,2,3,3,3,2,3,3,3
16,CHICK,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
17,CHIEF,4,2,4,2,4,1,3,3,2,3,3,3,3,3,3,4
18,COLT,4,2,1,2,4,1,4,3,2,3,3,3,3,3,3,2
19,CONE,4,2,4,2,4,1,2,3,2,2,3,3,3,3,3,4
20,CREST,4,2,3,2,4,1,3,3,2,2,3,3,3,1,3,4
21,CRIB,4,2,1,1,4,1,2,3,2,2,3,3,3,3,2,4
22,CROAK,3,2,4,1,4,1,2,3,2,2,3,3,3,3,3,4
23,DEER,4,2,4,2,4,1,3,3,2,2,3,3,3,3,3,4
24,DENSE,4,2,4,2,4,1,2,3,2,2,3,3,3,3,2,4
25,DILL,4,2,2,2,4,1,2,3,2,2,2,3,3,3,3,4
26,DIP,3,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
27,DOE,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
28,EAST,4,2,3,2,4,1,3,3,2,2,2,3,3,3,3,4
29,FIG,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
30,FILL,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
31,FIST,4,2,3,2,4,1,2,3,2,2,3,3,3,4,3,4
32,FIX,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
33,FLAG,2,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
34,FLAKE,1,3,1,2,4,1,3,3,2,2,3,3,3,3,3,4
35,FLEA,4,2,1,2,2,1,4,3,2,2,3,3,3,3,3,4
36,FLU,4,2,4,2,1,1,4,3,2,2,3,3,3,3,3,4
37,FOE,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
38,FRAME,3,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
39,FROWN,4,2,1,2,4,1,3,2,2,2,3,3,3,3,3,4
40,FUND,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
41,GATE,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
42,GLARE,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
43,GRASP,4,2,3,2,4,1,3,3,2,3,3,3,3,3,3,4
44,GRAZE,4,2,3,2,4,1,3,2,2,3,3,3,3,3,3,4
45,GRILL,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
46,GROUND,4,2,4,2,4,2,3,3,2,3,3,3,3,3,3,4
47,GYM,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
48,HAIR,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
49,HALL,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
50,HALT,4,2,4,2,4,1,3,3,2,2,3,3,3,3,3,1
51,HEAL,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
52,HERD,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
53,HIVE,3,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
54,HOG,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
55,HOOD,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
56,HORN,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
57,HOUND,4,2,4,2,4,1,2,3,2,2,3,3,3,3,3,4
58,ILL,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
59,JACK,3,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
60,JERK,4,2,1,2,4,1,4,3,2,2,3,3,3,3,3,4
61,JOG,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,3
62,JOINT,4,2,1,2,1,1,3,3,2,2,3,3,3,4,3,4
